candidate,family,gamma,seed,outer_fold,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable,beta_effective_min
global_slope_shrinkage_g0.10,global_slope_shrinkage,0.1,43,0,0.1268474565242424,0.12680777110904234,-3.968541520005253e-05,0.21400200037205727,0.20855616066277965,-0.005445839709277617,1.8855948079634588,1.8917542408569605,0.006159432893501737,98,18,0.9967491693548994
global_slope_shrinkage_g0.25,global_slope_shrinkage,0.25,43,0,0.1268474565242424,0.12674985511543657,-9.760140880582524e-05,0.21400200037205727,0.20038381263981225,-0.013618187732245018,1.8855948079634588,1.9009343704360864,0.015339562472627577,98,18,0.9918729233872486
global_slope_shrinkage_g0.50,global_slope_shrinkage,0.5,43,0,0.1268474565242424,0.12665772852679344,-0.0001897279974489574,0.21400200037205727,0.18675363949936444,-0.027248360872692834,1.8855948079634588,1.9166484015044793,0.031053593541020552,98,18,0.9837458467744973
global_slope_shrinkage_g0.75,global_slope_shrinkage,0.75,43,0,0.1268474565242424,0.12657126913552477,-0.0002761873887176247,0.21400200037205727,0.1731114362258168,-0.04089056414624048,1.8855948079634588,1.9326379783990972,0.04704317043563844,98,18,0.9756187701617458
global_slope_shrinkage_g1.00,global_slope_shrinkage,1.0,43,0,0.1268474565242424,0.12649067382175677,-0.00035678270248562516,0.21400200037205727,0.15945715817754927,-0.054544842194508,1.8855948079634588,1.948887213038754,0.06329240507529521,98,18,0.9674916935489944
global_full_shrinkage_g0.10,global_full_shrinkage,0.1,43,0,0.1268474565242424,0.1270247800980593,0.0001773235738168899,0.21400200037205727,0.2122826763544162,-0.0017193240176410773,1.8855948079634588,1.9206116617717046,0.03501685380824582,98,18,0.9817703745551906
global_full_shrinkage_g0.25,global_full_shrinkage,0.25,43,0,0.1268474565242424,0.1272981777899167,0.00045072126567430315,0.21400200037205727,0.20958994054487243,-0.004412059827184844,1.8855948079634588,1.9756456906546578,0.09005088269119899,98,18,0.9544259363879763
global_full_shrinkage_g0.50,global_full_shrinkage,0.5,43,0,0.1268474565242424,0.12777372656567376,0.0009262700414313652,0.21400200037205727,0.20479453738081818,-0.00920746299123909,1.8855948079634588,2.074721755157322,0.18912694719386303,98,18,0.9088518727759528
global_full_shrinkage_g0.75,global_full_shrinkage,0.75,43,0,0.1268474565242424,0.12827433912861455,0.0014268826043721539,0.21400200037205727,0.19960803381171452,-0.014393966560342752,1.8855948079634588,2.184222854570721,0.29862804660726217,98,18,0.8632778091639293
global_full_shrinkage_g1.00,global_full_shrinkage,1.0,43,0,0.1268474565242424,0.12880027587160725,0.0019528193473648536,0.21400200037205727,0.19402281448710537,-0.0199791858849519,1.8855948079634588,2.305842084745993,0.42024727678253426,98,18,0.8177037455519056
bounded_global_full_g0.25,bounded_global_full,0.25,43,0,0.1268474565242424,0.1272980433364812,0.0004505868122388068,0.21400200037205727,0.20958021880090902,-0.004421781571148253,1.8855948079634588,1.9756457173144721,0.09005090935101334,98,18,0.9544259363879763
bounded_global_full_g0.50,bounded_global_full,0.5,43,0,0.1268474565242424,0.12777345936833662,0.0009260028440942203,0.21400200037205727,0.2047750938960411,-0.009226906476016178,1.8855948079634588,2.0747218228886637,0.1891270149252049,98,18,0.9088518727759528
bounded_global_full_g0.75,bounded_global_full,0.75,43,0,0.1268474565242424,0.12827394214040275,0.00142648561616035,0.21400200037205727,0.19957886858315513,-0.014423131788902144,1.8855948079634588,2.1842229470515044,0.29862813908804564,98,18,0.8632778091639293
bounded_global_full_g1.00,bounded_global_full,1.0,43,0,0.1268474565242424,0.12879975336220723,0.0019522968379648287,0.21400200037205727,0.19398392751399557,-0.020018072858061703,1.8855948079634588,2.3058421300307823,0.4202473220673235,98,18,0.8177037455519056
identity,identity,0.0,43,1,0.12007731169487006,0.12007731169487006,0.0,0.0187735695620568,0.018773569563662842,1.6060416885288475e-12,0.8430658066018756,0.8430658066018756,0.0,95,16,1.0
global_intercept_shrinkage_g0.10,global_intercept_shrinkage,0.1,43,1,0.12007731169487006,0.12007870869264908,1.3969977790267984e-06,0.0187735695620568,0.014548806788094837,-0.004224762773961964,0.8430658066018756,0.843070973784754,-5.167182878462739e-06,95,16,1.0
global_intercept_shrinkage_g0.25,global_intercept_shrinkage,0.25,43,1,0.12007731169487006,0.12008202454425052,4.7128493804587945e-06,0.0187735695620568,0.008211662633652313,-0.010561906928404488,0.8430658066018756,0.8430761831268275,-1.0376524951949406e-05,95,16,1.0
global_intercept_shrinkage_g0.50,global_intercept_shrinkage,0.5,43,1,0.12007731169487006,0.12009083945757654,1.3527762706480595e-05,0.0187735695620568,-0.0023502442573380077,-0.016423325304718794,0.8430658066018756,0.843078716773996,-1.2910172120461638e-05,95,16,1.0
global_intercept_shrinkage_g0.75,global_intercept_shrinkage,0.75,43,1,0.12007731169487006,0.12010382084902907,2.6509154159012893e-05,0.0187735695620568,-0.012912151108814635,-0.005861418453242166,0.8430658066018756,0.8430748901686589,-9.083566783307795e-06,95,16,1.0
global_intercept_shrinkage_g1.00,global_intercept_shrinkage,1.0,43,1,0.12007731169487006,0.12012103353299534,4.372183812528796e-05,0.0187735695620568,-0.023474057920735116,0.004700488358678315,0.8430658066018756,0.8430663891547364,-5.825528608394137e-07,95,16,1.0
global_slope_shrinkage_g0.10,global_slope_shrinkage,0.1,43,1,0.12007731169487006,0.12008554821685874,8.236521988683188e-06,0.0187735695620568,0.015126332212354252,-0.0036472373497025493,0.8430658066018756,0.8451078919088015,-0.002042085306925956,95,16,0.9976302397710741
global_slope_shrinkage_g0.25,global_slope_shrinkage,0.25,43,1,0.12007731169487006,0.12009868055421835,2.136885934829469e-05,0.0187735695620568,0.00965296753307236,-0.00912060202898444,0.8430658066018756,0.8481714665614054,-0.005105659959529829,95,16,0.9940755994276854
global_slope_shrinkage_g0.50,global_slope_shrinkage,0.5,43,1,0.12007731169487006,0.12012267303549655,4.5361340626492996e-05,0.0187735695620568,0.0005239724195854872,-0.018249597142471312,0.8430658066018756,0.85327925000773,-0.010213443405854394,95,16,0.9881511988553708
global_slope_shrinkage_g0.75,global_slope_shrinkage,0.75,43,1,0.12007731169487006,0.12014934943077382,7.20377359037655e-05,0.0187735695620568,-0.008613473829709301,-0.0101600957323475,0.8430658066018756,0.8584196602541894,-0.015353853652313787,95,16,0.9822267982830563
global_slope_shrinkage_g1.00,global_slope_shrinkage,1.0,43,1,0.12007731169487006,0.12017877114485068,0.0001014594499806204,0.0187735695620568,-0.017759429437001557,-0.0010141401250552441,0.8430658066018756,0.8636342104230283,-0.02056840382115277,95,16,0.9763023977107417
global_full_shrinkage_g0.10,global_full_shrinkage,0.1,43,1,0.12007731169487006,0.12008095428244459,3.642587574528844e-06,0.0187735695620568,0.014584350178226126,-0.004189219383830675,0.8430658066018756,0.8437263494972036,-0.0006605428953280201,95,16,0.9992368673915779
global_full_shrinkage_g0.25,global_full_shrinkage,0.25,43,1,0.12007731169487006,0.12008751428007527,1.020258520521844e-05,0.0187735695620568,0.008300261524615719,-0.010473308037441082,0.8430658066018756,0.8447132567959538,-0.0016474501940781927,95,16,0.9980921684789449
global_full_shrinkage_g0.50,global_full_shrinkage,0.5,43,1,0.12007731169487006,0.12010140579763974,2.4094102769683934e-05,0.0187735695620568,-0.0021739128067839574,-0.01659965675527284,0.8430658066018756,0.8463478128365409,-0.0032820062346653467,95,16,0.9961843369578898
global_full_shrinkage_g0.75,global_full_shrinkage,0.75,43,1,0.12007731169487006,0.12011905273103514,4.1741036165082734e-05,0.0187735695620568,-0.012648955350984422,-0.006124614211072379,0.8430658066018756,0.8479730553032818,-0.004907248701406242,95,16,0.9942765054368348
global_full_shrinkage_g1.00,global_full_shrinkage,1.0,43,1,0.12007731169487006,0.12014052227491122,6.321058004116198e-05,0.0187735695620568,-0.02312486805031522,0.00435129848825842,0.8430658066018756,0.8495957798906102,-0.006529973288734614,95,16,0.9923686739157797
bounded_global_full_g0.25,bounded_global_full,0.25,43,1,0.12007731169487006,0.12008751400548671,1.0202310616658217e-05,0.0187735695620568,0.008300707126619284,-0.010472862435437517,0.8430658066018756,0.8447132567128528,-0.0016474501109772222,95,16,0.9980921684789449
bounded_global_full_g0.50,bounded_global_full,0.5,43,1,0.12007731169487006,0.12010140492020609,2.409322533603042e-05,0.0187735695620568,-0.0021730215977559908,-0.01660054796430081,0.8430658066018756,0.8463478135851941,-0.003282006983318486,95,16,0.9961843369578898
