candidate,beta,mode,alpha,fit_objective,seed,outer_fold
beta_0.975_mix_75,0.975,mix_75,-0.03570902137857386,0.32864195679944574,43,2
beta_0.975_logloss,0.975,logloss,-0.03561798526129272,0.3980577663169182,43,2
beta_0.900_brier,0.9,brier,-0.015051640136624142,0.13257387627191128,43,3
beta_0.900_mix_25,0.9,mix_25,-0.017274769511728915,0.20633382654862648,43,3
beta_0.900_mix_50,0.9,mix_50,-0.018286734864080518,0.28009363763033424,43,3
beta_0.900_mix_75,0.9,mix_75,-0.018864987636710826,0.3538533989837655,43,3
beta_0.900_logloss,0.9,logloss,-0.01923903760867453,0.4276131369477245,43,3
beta_0.925_brier,0.925,brier,0.020861114664424425,0.1326218829862434,43,3
beta_0.925_mix_25,0.925,mix_25,0.021220103832498376,0.20639389754098159,43,3
beta_0.925_mix_50,0.925,mix_50,0.021382823343951567,0.2801659085051552,43,3
beta_0.925_mix_75,0.925,mix_75,0.02147568648104755,0.35393791819087866,43,3
beta_0.925_logloss,0.925,logloss,0.021535730365338467,0.42770992727585366,43,3
beta_0.950_brier,0.95,brier,0.05647766803726631,0.13268094787651058,43,3
beta_0.950_mix_25,0.95,mix_25,0.05951400085873117,0.20647239762405512,43,3
beta_0.950_mix_50,0.95,mix_50,0.06088427393468402,0.2802635933437324,43,3
beta_0.950_mix_75,0.95,mix_75,0.06166531062646461,0.35405469893779196,43,3
beta_0.950_logloss,0.95,logloss,0.062170090170919415,0.4278457622256309,43,3
beta_0.975_brier,0.975,brier,0.09180781270310436,0.1327507383467903,43,3
beta_0.975_mix_25,0.975,mix_25,0.09761459652395818,0.20656901248980536,43,3
beta_0.975_mix_50,0.975,mix_50,0.10022302193953446,0.2803863682724411,43,3
beta_0.975_mix_75,0.975,mix_75,0.10170778863645201,0.3542033994656282,43,3
beta_0.975_logloss,0.975,logloss,0.10266684103692798,0.4280202784658725,43,3
beta_0.900_brier,0.9,brier,-0.0789651462792311,0.11705781450789002,43,4
beta_0.900_mix_25,0.9,mix_25,-0.12070130613873342,0.18403687714440203,43,4
beta_0.900_mix_50,0.9,mix_50,-0.14045331675880546,0.2509668851587713,43,4
beta_0.900_mix_75,0.9,mix_75,-0.15180381081724306,0.3178790006319373,43,4
beta_0.900_logloss,0.9,logloss,-0.1591388505499217,0.3847827162968134,43,4
beta_0.925_brier,0.925,brier,-0.043122659410679304,0.11693740500829289,43,4
beta_0.925_mix_25,0.925,mix_25,-0.08291980859811153,0.18382649452862054,43,4
beta_0.925_mix_50,0.925,mix_50,-0.10170509369063974,0.2506713448741077,43,4
beta_0.925_mix_75,0.925,mix_75,-0.11249505074219165,0.31750008463956547,43,4
beta_0.925_logloss,0.925,logloss,-0.11946799360740332,0.3843212613415705,43,4
beta_0.950_brier,0.95,brier,-0.0076137071362776965,0.11682973268889814,43,4
beta_0.950_mix_25,0.95,mix_25,-0.045375252548651136,0.18363525830382732,43,4
beta_0.950_mix_50,0.95,mix_50,-0.06314864747652131,0.25040129994132815,43,4
beta_0.950_mix_75,0.95,mix_75,-0.07335153379548659,0.31715298938419134,43,4
beta_0.950_logloss,0.95,logloss,-0.07994465031927823,0.38389794227237717,43,4
beta_0.975_brier,0.975,brier,0.027573712169787146,0.11673452636292964,43,4
beta_0.975_mix_25,0.975,mix_25,-0.008058614107419386,0.18346292660741298,43,4
beta_0.975_mix_50,0.975,mix_50,-0.024777660396188624,0.25015649240013027,43,4
beta_0.975_mix_75,0.975,mix_75,-0.034368729264016885,0.3168374228942955,43,4
beta_0.975_logloss,0.975,logloss,-0.040565792553569,0.38351242436457095,43,4
beta_0.900_brier,0.9,brier,-0.1722218585251247,0.12477179031001412,71,0
beta_0.900_mix_25,0.9,mix_25,-0.1747742493519888,0.1957123061726593,71,0
beta_0.900_mix_50,0.9,mix_50,-0.1758756014279132,0.2666526659050082,71,0
beta_0.900_mix_75,0.9,mix_75,-0.1764888666172899,0.3375929732648095,71,0
beta_0.900_logloss,0.9,logloss,-0.17687956946311073,0.4085332567636411,71,0
beta_0.925_brier,0.925,brier,-0.13757911405994572,0.124835387124504,71,0
beta_0.925_mix_25,0.925,mix_25,-0.13762983705145643,0.19581929666339024,71,0
beta_0.925_mix_50,0.925,mix_50,-0.13765167588674804,0.26680320614117736,71,0
beta_0.925_mix_75,0.925,mix_75,-0.13766378767686477,0.33778711559850066,71,0
beta_0.925_logloss,0.925,logloss,-0.1376715323461551,0.4087710250465006,71,0
beta_0.950_brier,0.95,brier,-0.10325520966897336,0.12490624856582014,71,0
beta_0.950_mix_25,0.95,mix_25,-0.10069737783978684,0.1959419330978065,71,0
beta_0.950_mix_50,0.95,mix_50,-0.0995996985546119,0.26697746350068213,71,0
beta_0.950_mix_75,0.95,mix_75,-0.09898895642948509,0.33801294236398716,71,0
beta_0.950_logloss,0.95,logloss,-0.0985998637930272,0.4090483977457253,71,0
beta_0.975_brier,0.975,brier,-0.06924934454700245,0.12498403899646776,71,0
