study,partition,seed,target_coverage,observed_coverage,augmentation_rate,fallback_rate,abstention_rate,ipcw_brier,harrell_c,auc_horizon
HANCOCK,calibration,101,0.95,0.9508196721311475,0.9098360655737705,0.040983606557377046,0.04918032786885246,0.1305474579660048,0.6436681222707423,0.7385276816418573
HANCOCK,oof,101,1.0,0.967280163599182,0.9611451942740287,0.006134969325153374,0.032719836400818,0.09731316873311652,0.6663298885745627,0.7090439940390593
HANCOCK,calibration,101,1.0,1.0,1.0,0.0,0.0,0.12931646576789493,0.6750093388121031,0.7700896096623732
TCGA-HNSC,oof,17,0.5,0.43132530120481927,0.18795180722891566,0.2433734939759036,0.5686746987951807,0.20678485273839117,0.6379942927028129,0.6173316704177461
TCGA-HNSC,calibration,17,0.5,0.5096153846153846,0.25961538461538464,0.25,0.49038461538461536,0.25108523569993524,0.6294871794871795,0.5678744070575475
TCGA-HNSC,oof,17,0.55,0.4963855421686747,0.2385542168674699,0.25783132530120484,0.5036144578313253,0.20716568190485976,0.6319176971416988,0.6113426699522475
TCGA-HNSC,calibration,17,0.55,0.5576923076923077,0.3173076923076923,0.2403846153846154,0.4423076923076923,0.24754268068897878,0.6437224669603524,0.5920462433947832
TCGA-HNSC,oof,17,0.6,0.5204819277108433,0.29397590361445786,0.22650602409638554,0.4795180722891566,0.20960107879271264,0.6280366207396664,0.6121286499234707
TCGA-HNSC,calibration,17,0.6,0.6057692307692307,0.375,0.23076923076923078,0.3942307692307692,0.2366211980629535,0.6351758793969849,0.5856553401310807
TCGA-HNSC,oof,17,0.65,0.5373493975903615,0.3253012048192771,0.21204819277108433,0.46265060240963857,0.21075012611256508,0.6239585963140621,0.6196414656019908
TCGA-HNSC,calibration,17,0.65,0.6538461538461539,0.4326923076923077,0.22115384615384615,0.34615384615384615,0.23630602785150892,0.5980902777777778,0.5305936297204558
TCGA-HNSC,oof,17,0.7,0.5614457831325301,0.4072289156626506,0.15421686746987953,0.43855421686746987,0.21177022582740918,0.6309685705651255,0.6293709354941943
TCGA-HNSC,calibration,17,0.7,0.7115384615384616,0.5096153846153846,0.20192307692307693,0.28846153846153844,0.2421548381092531,0.5872781065088757,0.5195960645083443
TCGA-HNSC,oof,17,0.75,0.6313253012048192,0.46265060240963857,0.1686746987951807,0.3686746987951807,0.2151390241188661,0.6409274079119133,0.6373168742451084
TCGA-HNSC,calibration,17,0.75,0.7596153846153846,0.5769230769230769,0.18269230769230768,0.2403846153846154,0.23929673079442712,0.5654838709677419,0.5154076665609684
TCGA-HNSC,oof,17,0.8,0.7493975903614458,0.5951807228915663,0.15421686746987953,0.25060240963855424,0.20912047111255305,0.6365793316028553,0.6576724233626403
TCGA-HNSC,calibration,17,0.8,0.8173076923076923,0.6634615384615384,0.15384615384615385,0.18269230769230768,0.2379814771874866,0.5906849315068493,0.537174866805939
TCGA-HNSC,oof,17,0.85,0.763855421686747,0.636144578313253,0.12771084337349398,0.236144578313253,0.2151203465070359,0.6265167384688353,0.6404237587011896
TCGA-HNSC,calibration,17,0.85,0.8557692307692307,0.7307692307692307,0.125,0.14423076923076922,0.24483840744213983,0.5747357825868143,0.526577330908789
TCGA-HNSC,oof,17,0.9,0.8072289156626506,0.7036144578313253,0.10361445783132531,0.1927710843373494,0.21695469958957106,0.6340104166666667,0.6471486362117436
TCGA-HNSC,calibration,17,0.9,0.9038461538461539,0.8173076923076923,0.08653846153846154,0.09615384615384616,0.23433249598187159,0.5988023952095808,0.5715714933894758
TCGA-HNSC,oof,17,0.95,0.8987951807228916,0.8506024096385543,0.04819277108433735,0.10120481927710843,0.22418775233704163,0.6098680915010853,0.6269429502503268
