path,status,detail
results/predictions/phase6/radcure__original__aggregate100.csv,PARSED_CSV,rows=626; columns=16
results/predictions/phase6/radcure__original__aggregate80.csv,PARSED_CSV,rows=626; columns=16
results/predictions/phase6/radcure__original__aggregate90.csv,PARSED_CSV,rows=626; columns=16
results/predictions/phase6/radcure__original__seed101.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__original__seed17.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__original__seed29.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__original__seed43.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__original__seed71.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__randomized_sampled_full__aggregate100.csv,PARSED_CSV,rows=626; columns=16
results/predictions/phase6/radcure__randomized_sampled_full__aggregate80.csv,PARSED_CSV,rows=626; columns=16
results/predictions/phase6/radcure__randomized_sampled_full__aggregate90.csv,PARSED_CSV,rows=626; columns=16
results/predictions/phase6/radcure__randomized_sampled_full__seed101.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__randomized_sampled_full__seed17.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__randomized_sampled_full__seed29.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__randomized_sampled_full__seed43.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__randomized_sampled_full__seed71.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__shuffled_full__aggregate100.csv,PARSED_CSV,rows=626; columns=16
results/predictions/phase6/radcure__shuffled_full__aggregate80.csv,PARSED_CSV,rows=626; columns=16
results/predictions/phase6/radcure__shuffled_full__aggregate90.csv,PARSED_CSV,rows=626; columns=16
results/predictions/phase6/radcure__shuffled_full__seed101.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__shuffled_full__seed17.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__shuffled_full__seed29.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__shuffled_full__seed43.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase6/radcure__shuffled_full__seed71.csv,PARSED_CSV,rows=626; columns=68
results/predictions/phase7_exploratory/development_predictions.csv,PARSED_CSV,rows=52960; columns=7
results/predictions/phase7_exploratory/external_predictions_aggregate.csv,PARSED_CSV,rows=4476; columns=6
results/predictions/phase7_exploratory/external_predictions_by_seed.csv,PARSED_CSV,rows=22380; columns=6
results/predictions/phase8_pseudo_private/inner_hancock_predictions_aggregate.csv,PARSED_CSV,rows=135; columns=33
results/predictions/phase8_pseudo_private/inner_hancock_predictions_by_seed.csv,PARSED_CSV,rows=675; columns=18
