study,model,seed,partition,threshold,net_benefit_model,net_benefit_all,net_benefit_none
RADCURE,B2,29,oof,0.4,-0.0005738225412055993,-0.3206009849516783,0.0
RADCURE,B2,29,oof,0.45,-0.001364952826645653,-0.4406556199472853,0.0
RADCURE,B2,29,oof,0.5,-0.0024807640795827977,-0.584721181942014,0.0
RADCURE,B2,29,calibration,0.05,0.16303996669974766,0.16299594076076102,0.0
RADCURE,B2,29,calibration,0.1,0.12210818851602931,0.11649571524746996,0.0
RADCURE,B2,29,calibration,0.15,0.10752296567790642,0.06452487496790937,0.0
RADCURE,B2,29,calibration,0.2,0.07916667942917077,0.0060576796534037025,0.0
RADCURE,B2,29,calibration,0.25,0.057164255332153815,-0.060205141703036036,0.0
RADCURE,B2,29,calibration,0.3,0.02965261206938414,-0.1359340803961101,0.0
RADCURE,B2,29,calibration,0.35,0.023086991361381,-0.22331362504196467,0.0
RADCURE,B2,29,calibration,0.4,0.012096529973822372,-0.32525642712879516,0.0
RADCURE,B2,29,calibration,0.45,0.014409735312919909,-0.4457342841405037,0.0
RADCURE,B2,29,calibration,0.5,0.00991276775908449,-0.5903077125545542,0.0
RADCURE,B2,43,oof,0.05,0.1660233382842498,0.165936220030519,0.0
RADCURE,B2,43,oof,0.1,0.12254201132008444,0.11959934336554782,0.0
RADCURE,B2,43,oof,0.15,0.10085314053778613,0.06781106944587417,0.0
RADCURE,B2,43,oof,0.2,0.08205690272710413,0.009549261286241312,0.0
RADCURE,B2,43,oof,0.25,0.055377917022248396,-0.056480787961342566,0.0
RADCURE,B2,43,oof,0.3,0.03264927668931513,-0.1319437013871528,0.0
RADCURE,B2,43,oof,0.35,0.015537927778923401,-0.21901629380154916,0.0
RADCURE,B2,43,oof,0.4,0.0018967818336925908,-0.3206009849516783,0.0
RADCURE,B2,43,oof,0.45,-0.0036870575912165277,-0.4406556199472853,0.0
RADCURE,B2,43,oof,0.5,-0.0016562502396640318,-0.584721181942014,0.0
RADCURE,B2,43,calibration,0.05,0.16303996669974766,0.16299594076076102,0.0
RADCURE,B2,43,calibration,0.1,0.12210818851602931,0.11649571524746996,0.0
RADCURE,B2,43,calibration,0.15,0.10752296567790642,0.06452487496790937,0.0
RADCURE,B2,43,calibration,0.2,0.07916667942917077,0.0060576796534037025,0.0
RADCURE,B2,43,calibration,0.25,0.057164255332153815,-0.060205141703036036,0.0
RADCURE,B2,43,calibration,0.3,0.02965261206938414,-0.1359340803961101,0.0
RADCURE,B2,43,calibration,0.35,0.023086991361381,-0.22331362504196467,0.0
RADCURE,B2,43,calibration,0.4,0.012096529973822372,-0.32525642712879516,0.0
RADCURE,B2,43,calibration,0.45,0.014409735312919909,-0.4457342841405037,0.0
RADCURE,B2,43,calibration,0.5,0.00991276775908449,-0.5903077125545542,0.0
RADCURE,B2,71,oof,0.05,0.1660233382842498,0.165936220030519,0.0
RADCURE,B2,71,oof,0.1,0.12629784825615703,0.11959934336554782,0.0
RADCURE,B2,71,oof,0.15,0.09973731931331001,0.06781106944587417,0.0
RADCURE,B2,71,oof,0.2,0.08020329356053782,0.009549261286241312,0.0
RADCURE,B2,71,oof,0.25,0.05813037641082731,-0.056480787961342566,0.0
RADCURE,B2,71,oof,0.3,0.031003578083679144,-0.1319437013871528,0.0
RADCURE,B2,71,oof,0.35,0.010726312396357345,-0.21901629380154916,0.0
RADCURE,B2,71,oof,0.4,0.002997276397575851,-0.3206009849516783,0.0
