study,model,seed,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
TCGA-HNSC,B5,17,415.0,177.0,414.646498814596,0.22296683404026618,0.6018994589011877,0.606473047897449,0.6334902130460303,-0.11415726183306939,0.42072332900941806,0.3567648152381592
TCGA-HNSC,B5,29,415.0,177.0,414.646498814596,0.21817392535695557,0.6088596510923011,0.6150396720415445,0.6465571695903206,-0.08711262908416859,0.48671038224021923,0.3520796880337992
TCGA-HNSC,B5,43,415.0,177.0,414.646498814596,0.23572817230888407,0.5800309840813669,0.5827601557433527,0.5948847079767906,-0.1592189761452217,0.34063604556591776,0.3608226573135574
TCGA-HNSC,B5,71,415.0,177.0,414.646498814596,0.22511859924988792,0.5991378342576169,0.6028308573454499,0.6207593839879206,-0.15128444771788474,0.43336188579227525,0.3595781173177626
TCGA-HNSC,B5,101,415.0,177.0,414.646498814596,0.21755468335786776,0.6227575832416534,0.6225087305798491,0.6442343490094005,-0.1336414800436301,0.5154110442480512,0.35998091999290566
TCGA-HNSC,M0,17,415.0,177.0,414.646498814596,0.22478790506261467,0.4772783403309459,0.4565670459053515,0.43499320117852236,-0.002417002811543039,-3.8969562260372363,0.3373519272096515
TCGA-HNSC,M0,29,415.0,177.0,414.646498814596,0.22377763498652295,0.4736859830710164,0.4681796868166503,0.4614009674651075,-0.0016507769343286276,-3.8662002208793975,0.3374059336333764
TCGA-HNSC,M0,43,415.0,177.0,414.646498814596,0.2232733231273517,0.4913334381104201,0.4929847098596274,0.4890383428674451,-0.002432708867649263,-6.705319705045256,0.3373976085940579
TCGA-HNSC,M0,71,415.0,177.0,414.646498814596,0.224630598940955,0.4519297694155684,0.4483276115346575,0.4312703342486066,-0.0034535496115005396,-5.117771849773655,0.337314866280083
TCGA-HNSC,M0,101,415.0,177.0,414.646498814596,0.2232831916990007,0.5149531870944566,0.5064011195261572,0.4854813772952121,-0.0026306775684572753,-5.050403826444424,0.3374594498379695
TCGA-HNSC,N0,17,415.0,177.0,414.646498814596,0.26535193224672504,0.4757852668447877,0.4793161958427119,0.46343575250158775,-0.09528230788292068,-0.25961968066796276,0.3520561006294683
TCGA-HNSC,N0,29,415.0,177.0,414.646498814596,0.2267733822649651,0.5274927591548979,0.5346615570103915,0.5682146778274904,-0.023538910021787166,0.38029927792862345,0.34868779287486945
TCGA-HNSC,N0,43,415.0,177.0,414.646498814596,0.2581614835520457,0.48344147825501244,0.4751315883245685,0.4660242827587254,-0.0954726604302103,-0.16770010838937482,0.35332775305082226
TCGA-HNSC,N0,71,415.0,177.0,414.646498814596,0.23590685887869534,0.5144031073890298,0.5127168802018294,0.5234798778130804,-0.07697422759222175,0.1478898055254241,0.36172217702232534
TCGA-HNSC,N0,101,415.0,177.0,414.646498814596,0.2266710930149634,0.5556703114124699,0.5717739333104491,0.5762698509549757,-0.07999220669660458,0.37949165390982975,0.35009768200690167
