candidate,beta,alpha,seed,outer_fold,fit_ipcw_brier,effective_slope
fixed_beta_0.950,0.95,-0.07907837634303762,29,4,0.13709763319824061,0.95
fixed_beta_0.975,0.975,-0.044468215964058026,29,4,0.13740671124249773,0.975
fixed_beta_1.000,1.0,-0.010037460980370658,29,4,0.13772089183453468,1.0
fixed_beta_1.025,1.025,0.02420735466257113,29,4,0.13803960395681195,1.025
fixed_beta_0.800,0.8,-0.30820214801911927,43,0,0.12303108764828416,0.8
fixed_beta_0.825,0.825,-0.27433040999833985,43,0,0.1230214644408767,0.825
fixed_beta_0.850,0.85,-0.24090475810946335,43,0,0.12302429157506671,0.85
fixed_beta_0.875,0.875,-0.20791259754633462,43,0,0.12303928527089496,0.875
fixed_beta_0.900,0.9,-0.17534168665264835,43,0,0.12306614662005044,0.9
fixed_beta_0.925,0.925,-0.14318013329691714,43,0,0.12310456357911513,0.925
fixed_beta_0.950,0.95,-0.11141634750485593,43,0,0.12315421289282906,0.95
fixed_beta_0.975,0.975,-0.08003905801280627,43,0,0.12321476193706787,0.975
fixed_beta_1.000,1.0,-0.04903738374197938,43,0,0.12328587047334157,1.0
fixed_beta_1.025,1.025,-0.018400800576437473,43,0,0.12336719230859254,1.025
fixed_beta_0.800,0.8,-0.23433187242568415,43,1,0.12429027100144849,0.8
fixed_beta_0.825,0.825,-0.19767496319153152,43,1,0.12425796173572085,0.825
fixed_beta_0.850,0.85,-0.16139819754469825,43,1,0.12423869537264745,0.85
fixed_beta_0.875,0.875,-0.1254900138074379,43,1,0.12423221184997323,0.875
fixed_beta_0.900,0.9,-0.08993916697037639,43,1,0.12423823561303576,0.9
fixed_beta_0.925,0.925,-0.054734750107321144,43,1,0.12425647747064429,0.925
fixed_beta_0.950,0.95,-0.019866210851884652,43,1,0.12428663639771519,0.95
fixed_beta_0.975,0.975,0.014676774305416506,43,1,0.12432840127366727,0.975
fixed_beta_1.000,1.0,0.0489041251140519,43,1,0.12438145254752858,1.0
fixed_beta_1.025,1.025,0.08282542413381531,43,1,0.12444546382255717,1.025
fixed_beta_0.800,0.8,-0.2762229896432236,43,2,0.1206653878965757,0.8
fixed_beta_0.825,0.825,-0.24079175693908692,43,2,0.1205896417817608,0.825
fixed_beta_0.850,0.85,-0.20578393012389298,43,2,0.12052664086370059,0.85
fixed_beta_0.875,0.875,-0.1711869098104011,43,2,0.12047616543575744,0.875
fixed_beta_0.900,0.9,-0.13698836913494666,43,2,0.12043797708773324,0.9
fixed_beta_0.925,0.925,-0.10317631797497794,43,2,0.12041182068402219,0.925
fixed_beta_0.950,0.95,-0.06973906564378507,43,2,0.12039742629490673,0.95
fixed_beta_0.975,0.975,-0.036665305229713126,43,2,0.12039451106844769,0.975
fixed_beta_1.000,1.0,-0.003944008310753246,43,2,0.12040278103255717,1.0
fixed_beta_1.025,1.025,0.028435396518970896,43,2,0.12042193281885985,1.025
fixed_beta_0.800,0.8,-0.16187342037084096,43,3,0.1324988046301899,0.8
fixed_beta_0.825,0.825,-0.12467085011107812,43,3,0.13249941635180584,0.825
fixed_beta_0.850,0.85,-0.08780700625106115,43,3,0.1325123309887827,0.85
fixed_beta_0.875,0.875,-0.051270843576263804,43,3,0.13253725327199714,0.875
fixed_beta_0.900,0.9,-0.015051640136624142,43,3,0.13257387627191128,0.9
fixed_beta_0.925,0.925,0.020861114664424425,43,3,0.1326218829862434,0.925
fixed_beta_0.950,0.95,0.05647766803726631,43,3,0.13268094787651058,0.95
fixed_beta_0.975,0.975,0.09180781270310436,43,3,0.1327507383467903,0.975
fixed_beta_1.000,1.0,0.12686125813958493,43,3,0.1328309161591964,1.0
