candidate,beta,alpha,fit_ipcw_brier,seed,outer_fold,rank_preserved,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
fixed_beta_0.825,0.825,-0.20155253635675222,0.12918023104428705,17,2,True,0.11454584388648568,0.1156426521629783,0.0010968082764926113,-0.14437696888776075,-0.2231046113145982,0.07872764242683744,1.5502376045105999,1.8790761582918099,0.32883855378120996,105,16
fixed_beta_0.850,0.85,-0.16357727666541996,0.12913443032900473,17,2,True,0.11454584388648568,0.11550651502458857,0.0009606711381028865,-0.14437696888776075,-0.22079142893565729,0.07641446004789654,1.5502376045105999,1.8238088199818434,0.2735712154712435,105,16
fixed_beta_0.875,0.875,-0.12587696127190345,0.12909638674937776,17,2,True,0.11454584388648568,0.11537479344333904,0.0008289495568533506,-0.14437696888776075,-0.21828676682525583,0.07390979793749508,1.5502376045105999,1.771700421070153,0.22146281655955313,105,16
fixed_beta_0.900,0.9,-0.0884447917129065,0.12906600144419278,17,2,True,0.11454584388648568,0.11524755834080921,0.0007017144543235293,-0.14437696888776075,-0.21559704133320579,0.07122007244544504,1.5502376045105999,1.7224864502303212,0.17224884571972132,105,16
fixed_beta_0.925,0.925,-0.051274103182844394,0.1290431670815597,17,2,True,0.11454584388648568,0.11512487340451753,0.0005790295180318483,-0.14437696888776075,-0.2127285216373086,0.06835155274954785,1.5502376045105999,1.6759325098509528,0.12569490534035288,105,16
fixed_beta_0.950,0.95,-0.014358297449775093,0.12902776845198263,17,2,True,0.11454584388648568,0.11500679545918094,0.00046095157269525344,-0.14437696888776075,-0.20968739714693618,0.06531042825917543,1.5502376045105999,1.6318290209945467,0.08159141648394685,105,16
fixed_beta_0.975,0.975,0.02230909928801966,0.12901968306927505,17,2,True,0.11454584388648568,0.1148933741630913,0.0003475302766056121,-0.14437696888776075,-0.20647971997712988,0.062102751089369135,1.5502376045105999,1.5899872767560275,0.03974967224542758,105,16
fixed_beta_1.000,1.0,0.05873443158642078,0.12901878177501772,17,2,True,0.11454584388648568,0.11478465204178984,0.00023880815530415156,-0.14437696888776075,-0.20311140047418152,0.05873443158642078,1.5502376045105999,1.5502376506488889,4.613828896715688e-08,105,16
fixed_beta_1.025,1.025,0.09492399565026509,0.1290249293425121,17,2,True,0.11454584388648568,0.11468066499986765,0.00013482111338196379,-0.14437696888776075,-0.19958828846146937,0.05521131957370862,1.5502376045105999,1.5124267656739898,-0.03781083883661007,105,16
fixed_beta_0.800,0.8,-0.26638353703911916,0.1285007847490074,17,3,True,0.11736647687204238,0.1191904311051643,0.0018239542331219133,-0.08634074929360558,-0.1363551855579731,0.05001443626436752,2.3622646440021278,2.9528307853508045,0.5905661413486767,99,16
fixed_beta_0.825,0.825,-0.22860474525475233,0.12847364448232373,17,3,True,0.11736647687204238,0.118940938997587,0.001574462125544615,-0.08634074929360558,-0.13432084040578463,0.047980091112179046,2.3622646440021278,2.8633509277308247,0.5010862837286969,99,16
fixed_beta_0.850,0.85,-0.19112977923942903,0.12845427851460386,17,3,True,0.11736647687204238,0.11869612636434326,0.0013296494923008828,-0.08634074929360558,-0.13205878595637255,0.04571803666276697,2.3622646440021278,2.7791346022768764,0.4168699582747486,99,16
fixed_beta_0.875,0.875,-0.15395264088704427,0.12844259822167456,17,3,True,0.11736647687204238,0.11845607368244518,0.0010895968104027987,-0.08634074929360558,-0.1295746018643783,0.043233852570772724,2.3622646440021278,2.699730870519016,0.3374662265168884,99,16
fixed_beta_0.900,0.9,-0.11706735275521761,0.12843850567446322,17,3,True,0.11736647687204238,0.11822085595477001,0.0008543790827276326,-0.08634074929360558,-0.12687383681375064,0.04053308752014506,2.3622646440021278,2.6247386318469457,0.2624739878448179,99,16
fixed_beta_0.925,0.925,-0.08046805563369357,0.12844189419597013,17,3,True,0.11736647687204238,0.11799054264164671,0.0006240657696043317,-0.08634074929360558,-0.12396191122816613,0.037621161934560554,2.3622646440021278,2.5538000453571277,0.1915354013549999,99,16
fixed_beta_0.950,0.95,-0.04414896961040284,0.1284526489332478,17,3,True,0.11736647687204238,0.11776519763945008,0.00039872076740769813,-0.08634074929360558,-0.12084415648868763,0.03450340719508205,2.3622646440021278,2.486593854846112,0.1243292108439844,99,16
