candidate,gamma,seed,outer_fold,alpha_brier,beta_brier,beta_effective,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,slope_raw,slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
brier_full_shrinkage_g0.10,0.1,29,3,-0.3481268734351845,0.75,0.975,0.13091801219732,0.1305433752134592,-0.00037463698386078215,-0.12289516238893762,-0.1235588624383354,0.0006637000493977807,0.4126275028337805,0.4232034842010608,-0.01057598136728033,99,16
brier_full_shrinkage_g0.25,0.25,29,3,-0.3481268734351845,0.75,0.9375,0.13091801219732,0.1299972401910533,-0.0009207720062666958,-0.12289516238893762,-0.12487260431838061,0.0019774419294429912,0.4126275028337805,0.4404929143492157,-0.027865411515435312,99,16
brier_full_shrinkage_g0.50,0.5,29,3,-0.3481268734351845,0.75,0.875,0.13091801219732,0.12913370587188916,-0.0017843063254308345,-0.12289516238893762,-0.1279509232617487,0.00505576087281108,0.4126275028337805,0.4720346119882968,-0.0594071091545163,99,16
brier_full_shrinkage_g0.75,0.75,29,3,-0.3481268734351845,0.75,0.8125,0.13091801219732,0.12833708302353744,-0.0025809291737825535,-0.12289516238893762,-0.13220928145708244,0.009314119068144819,0.4126275028337805,0.5081167113621099,-0.09548920852832943,99,16
brier_full_shrinkage_g1.00,1.0,29,3,-0.3481268734351845,0.75,0.75,0.13091801219732,0.12761888973921262,-0.003299122458107373,-0.12289516238893762,-0.13773569272161448,0.014840530332676863,0.4126275028337805,0.5501751955871167,-0.13754769275333623,99,16
brier_full_shrinkage_g0.10,0.1,29,4,-0.36204420771212154,0.75,0.975,0.10797975345654266,0.10798456076542558,4.807308882914807e-06,-0.2091373226850802,-0.21253188841941814,0.00339456573433794,1.351015180305225,1.3854955345394304,0.03448035423420537,93,13
brier_full_shrinkage_g0.25,0.25,29,4,-0.36204420771212154,0.75,0.9375,0.10797975345654266,0.10800520562661525,2.5452170072590152e-05,-0.2091373226850802,-0.21786625408816637,0.008728931403086171,1.351015180305225,1.439697310891075,0.08868213058585006,93,13
brier_full_shrinkage_g0.50,0.5,29,4,-0.36204420771212154,0.75,0.875,0.10797975345654266,0.10807697077299121,9.721731644854459e-05,-0.2091373226850802,-0.22741407825057464,0.018276755565494435,1.351015180305225,1.5438352354212408,0.19282005511601574,93,13
brier_full_shrinkage_g0.75,0.75,29,4,-0.36204420771212154,0.75,0.8125,0.10797975345654266,0.10819813181381922,0.00021837835727656074,-0.2091373226850802,-0.23780015212196529,0.028662829436885084,1.351015180305225,1.6629389501977077,0.3119237698924826,93,13
brier_full_shrinkage_g1.00,1.0,29,4,-0.36204420771212154,0.75,0.75,0.10797975345654266,0.1083721196474752,0.00039236619093253877,-0.2091373226850802,-0.24904325292828672,0.03990593024320652,1.351015180305225,1.8004732411481459,0.44945806084292084,93,13
brier_full_shrinkage_g0.10,0.1,43,0,-0.26523993944955676,0.8317351829573855,0.9831735182957385,0.1268474565242424,0.12700960703906852,0.00016215051482612597,0.21400200037205727,0.21231731273834253,-0.0016846876337147376,1.8855948079634588,1.9178704525768986,0.03227564461343979,98,18
brier_full_shrinkage_g0.25,0.25,43,0,-0.26523993944955676,0.8317351829573855,0.9579337957393463,0.1268474565242424,0.12725915377758568,0.00041169725334327945,0.21400200037205727,0.20969344055535716,-0.004308559816700114,1.8855948079634588,1.9684106970371285,0.08281588907366966,98,18
brier_full_shrinkage_g0.50,0.5,43,0,-0.26523993944955676,0.8317351829573855,0.9158675914786927,0.1268474565242424,0.12769202856086231,0.0008445720366199172,0.21400200037205727,0.20505879030532753,-0.00894321006672974,1.8855948079634588,2.058830758418705,0.1732359504552463,98,18
brier_full_shrinkage_g0.75,0.75,43,0,-0.26523993944955676,0.8317351829573855,0.8738013872180391,0.1268474565242424,0.12814629184483212,0.0012988353205897196,0.21400200037205727,0.20009193783831597,-0.013910062533741302,1.8855948079634588,2.1579313475939417,0.2723365396304829,98,18
