study,seed,subgroup_variable,subgroup,model,parent_n,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
HANCOCK,29,hpv_group,unknown,B7_full_equal_weight_90,122,0.9016393442622951,110.0,32.0,111.22735551040233,0.11932831126887827,0.628586332811685,0.6955424950164915,0.7119067984015395,0.18667851467446714,1.9237680037218206,0.12421769892802599
HANCOCK,29,natural_modality_missingness,complete,B2,86,1.0,86.0,25.0,86.00897189225475,0.15549053200881235,0.5924242424242424,0.6076860893897195,0.6503398367452526,0.41519107938153643,2.4216798648840276,0.13990965124843796
HANCOCK,29,natural_modality_missingness,complete,B6,86,1.0,86.0,25.0,86.00897189225475,0.14081648869799682,0.7143939393939394,0.7875791210661477,0.8233470566517644,0.46506029975879953,3.1251980201219793,0.14352198415096024
HANCOCK,29,natural_modality_missingness,complete,B7_full_equal_weight_90,86,0.872093023255814,75.0,20.0,76.90524572671634,0.12247232632397373,0.6323024054982818,0.7156444498497355,0.7403231821400675,0.2015344877736686,2.272627064922875,0.12790126377004668
HANCOCK,29,natural_modality_missingness,missing,B2,36,1.0,36.0,13.0,35.322109783686,0.12341951801811102,0.7217391304347827,0.762092769950278,0.7538077668824325,0.22703304279002426,2.876313755884879,0.13204121757806597
HANCOCK,29,natural_modality_missingness,missing,B6,36,1.0,36.0,13.0,35.322109783686,0.10081454710436466,0.5695652173913044,0.5935577631593908,0.5939358848958253,0.13515198121550787,1.5583523946373565,0.1380179924457787
HANCOCK,29,natural_modality_missingness,missing,B7_full_equal_weight_90,36,0.9722222222222222,35.0,12.0,34.32210978368601,0.11259113615081658,0.6,0.6149225039184789,0.6073589982127222,0.15163743131782276,0.8397279661787489,0.11632434569512455
HANCOCK,43,sex,0,B2,91,1.0,91.0,28.0,88.9593227647629,0.14134533428831464,0.6201157742402316,0.6520199735218379,0.6795506110294908,0.3342308106389265,2.340405596222991,0.13782593418620745
HANCOCK,43,sex,0,B6,91,1.0,91.0,28.0,88.9593227647629,0.11784927406174578,0.7076700434153401,0.8142126007936736,0.8437645706404134,0.34433503015043493,3.5612304734243323,0.14491811622549397
HANCOCK,43,sex,0,B7_full_equal_weight_90,91,0.9010989010989011,82.0,23.0,79.40872872637165,0.11342330057759968,0.6337741607324516,0.7231826338297207,0.7166165205916978,0.21280836377443285,2.13103696770243,0.1225927049671249
HANCOCK,43,sex,1,B2,31,1.0,31.0,10.0,32.3717589111779,0.15976977358623312,0.6767676767676768,0.6863155878573036,0.7040014910368972,0.44426358267458677,3.2120847525439475,0.13688883320100534
HANCOCK,43,sex,1,B6,31,1.0,31.0,10.0,32.3717589111779,0.1616648588067935,0.6111111111111112,0.5444344909488124,0.530695165793159,0.4690988588587667,0.911039570903471,0.132050675532982
HANCOCK,43,sex,1,B7_full_equal_weight_90,31,0.9032258064516129,28.0,7.0,29.154827982127408,0.10390495584415867,0.6956521739130435,0.5780238141162497,0.5264166205975714,-0.1918173364411815,-0.08476439077250278,0.12432445096246358
HANCOCK,43,age_group,<65,B2,73,1.0,73.0,24.0,75.43917997029078,0.15034343144657633,0.6284860557768924,0.6651827272918014,0.6859327707708914,0.424743223276966,2.6965168401427424,0.1270256045074011
HANCOCK,43,age_group,<65,B6,73,1.0,73.0,24.0,75.43917997029078,0.12788294802971148,0.6733067729083665,0.741428910774619,0.7711070345319779,0.3857791551457021,2.8361713910202972,0.14043782693110052
HANCOCK,43,age_group,<65,B7_full_equal_weight_90,73,0.8904109589041096,65.0,19.0,67.31395761024693,0.11935234040972346,0.5855855855855856,0.6377122675565141,0.6443796170712862,0.2114455971119074,1.479178081455737,0.1134280769557976
HANCOCK,43,age_group,>=65,B2,49,1.0,49.0,14.0,45.89190170565001,0.13959628379203648,0.675,0.7128223588832905,0.7649103663585478,0.27420009141355417,3.82534893898628,0.15332336145175027
HANCOCK,43,age_group,>=65,B6,49,1.0,49.0,14.0,45.89190170565001,0.13062121135633728,0.655,0.7191596365309728,0.7412586921433307,0.3686479208407183,1.9947860029419224,0.14345220718514395
HANCOCK,43,age_group,>=65,B7_full_equal_weight_90,49,0.9183673469387755,45.0,11.0,41.24959909825215,0.09893660631927978,0.6776556776556777,0.733495729983176,0.7183962194214593,-0.04585064437182709,1.7938764596433177,0.13690803182503067
HANCOCK,43,site_group,other,B2,122,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,43,site_group,other,B6,122,1.0,122.0,38.0,121.33108167594078,0.12898274231663495,0.6750093388121031,0.7412224937282743,0.7688067865264986,0.3790572111752244,2.467681274063803,0.14164852063969172
HANCOCK,43,site_group,other,B7_full_equal_weight_90,122,0.9016393442622951,110.0,30.0,108.56355670849904,0.1110004491909056,0.6288888888888889,0.6787212106215781,0.6758883898366532,0.11092098867760242,1.4407449705418485,0.12303351303866567
HANCOCK,43,stage_group,unknown,B2,122,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,43,stage_group,unknown,B6,122,1.0,122.0,38.0,121.33108167594078,0.12898274231663495,0.6750093388121031,0.7412224937282743,0.7688067865264986,0.3790572111752244,2.467681274063803,0.14164852063969172
HANCOCK,43,stage_group,unknown,B7_full_equal_weight_90,122,0.9016393442622951,110.0,30.0,108.56355670849904,0.1110004491909056,0.6288888888888889,0.6787212106215781,0.6758883898366532,0.11092098867760242,1.4407449705418485,0.12303351303866567
HANCOCK,43,hpv_group,unknown,B2,122,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,43,hpv_group,unknown,B6,122,1.0,122.0,38.0,121.33108167594078,0.12898274231663495,0.6750093388121031,0.7412224937282743,0.7688067865264986,0.3790572111752244,2.467681274063803,0.14164852063969172
HANCOCK,43,hpv_group,unknown,B7_full_equal_weight_90,122,0.9016393442622951,110.0,30.0,108.56355670849904,0.1110004491909056,0.6288888888888889,0.6787212106215781,0.6758883898366532,0.11092098867760242,1.4407449705418485,0.12303351303866567
HANCOCK,43,natural_modality_missingness,complete,B2,86,1.0,86.0,25.0,86.00897189225475,0.15549053200881235,0.5924242424242424,0.6076860893897195,0.6503398367452526,0.41519107938153643,2.4216798648840276,0.13990965124843796
HANCOCK,43,natural_modality_missingness,complete,B6,86,1.0,86.0,25.0,86.00897189225475,0.14075064162413176,0.7121212121212122,0.7865612997622708,0.8222112175074154,0.46758295075761236,3.068368058538053,0.14324937630699486
