study,seed,scenario,gate_variant,profile,action,count,rate,non_abstention_coverage
HANCOCK,17,complete_modality_dropout,full_equal_weight,100,AUGMENT,0,0.0,1.0
HANCOCK,17,complete_modality_dropout,full_equal_weight,100,FALLBACK,122,1.0,1.0
HANCOCK,17,complete_modality_dropout,full_equal_weight,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,complete_modality_dropout,full_equal_weight,90,AUGMENT,0,0.0,0.9016393442622951
HANCOCK,17,complete_modality_dropout,full_equal_weight,90,FALLBACK,110,0.9016393442622951,0.9016393442622951
HANCOCK,17,complete_modality_dropout,full_equal_weight,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,complete_modality_dropout,full_equal_weight,80,AUGMENT,0,0.0,0.8032786885245902
HANCOCK,17,complete_modality_dropout,full_equal_weight,80,FALLBACK,98,0.8032786885245902,0.8032786885245902
HANCOCK,17,complete_modality_dropout,full_equal_weight,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,complete_modality_dropout,full_learned_nonnegative,100,AUGMENT,0,0.0,1.0
HANCOCK,17,complete_modality_dropout,full_learned_nonnegative,100,FALLBACK,122,1.0,1.0
HANCOCK,17,complete_modality_dropout,full_learned_nonnegative,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,complete_modality_dropout,full_learned_nonnegative,90,AUGMENT,0,0.0,0.9016393442622951
HANCOCK,17,complete_modality_dropout,full_learned_nonnegative,90,FALLBACK,110,0.9016393442622951,0.9016393442622951
HANCOCK,17,complete_modality_dropout,full_learned_nonnegative,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,complete_modality_dropout,full_learned_nonnegative,80,AUGMENT,0,0.0,0.8032786885245902
HANCOCK,17,complete_modality_dropout,full_learned_nonnegative,80,FALLBACK,98,0.8032786885245902,0.8032786885245902
HANCOCK,17,complete_modality_dropout,full_learned_nonnegative,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,blood_block_dropout_30pct_rows,ood_only,100,AUGMENT,120,0.9836065573770492,1.0
HANCOCK,17,blood_block_dropout_30pct_rows,ood_only,100,FALLBACK,2,0.01639344262295082,1.0
HANCOCK,17,blood_block_dropout_30pct_rows,ood_only,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,blood_block_dropout_30pct_rows,ood_only,90,AUGMENT,100,0.819672131147541,0.9016393442622951
HANCOCK,17,blood_block_dropout_30pct_rows,ood_only,90,FALLBACK,10,0.08196721311475409,0.9016393442622951
HANCOCK,17,blood_block_dropout_30pct_rows,ood_only,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,blood_block_dropout_30pct_rows,ood_only,80,AUGMENT,83,0.680327868852459,0.8032786885245902
