study,seed,scenario,model,gate_variant,profile,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk,b2_subset_ipcw_brier,b6_subset_ipcw_brier
HANCOCK,29,blood_and_tma_dropout_30pct_rows,B7,full_learned_nonnegative,80,0.8032786885245902,98.0,24.0,98.10185740920528,0.09117939024210087,0.6318449873631002,0.6370033327495527,0.6471079051633204,-0.14231889699291383,2.2588137511207447,0.11946000666916437,0.09223729046539321,0.08668571963502143
HANCOCK,29,oropharynx_targeted_tma_dropout,B2,none,full,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987,,
HANCOCK,29,oropharynx_targeted_tma_dropout,B3,none,full,1.0,122.0,38.0,121.33108167594078,0.1395186818994406,0.6574523720582742,0.6868113799857128,0.7244082215010708,0.3788492547515765,1.4631735363863188,0.14069947941013589,,
HANCOCK,29,oropharynx_targeted_tma_dropout,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.1292413664339719,0.6305565932013448,0.6881443373855551,0.7017545451090851,0.36540496791566307,1.9631472422651763,0.1426940476072896,,
HANCOCK,29,oropharynx_targeted_tma_dropout,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188,,
HANCOCK,29,oropharynx_targeted_tma_dropout,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.12901263708020372,0.6791184161374673,0.7455529585158549,0.7736658467381642,0.3773164848729753,2.510253846672697,0.14189785545107064,,
HANCOCK,29,oropharynx_targeted_tma_dropout,M0,none,full,1.0,122.0,38.0,121.33108167594078,0.14975731069388704,0.613746731415764,0.6564709233564769,0.6685501725522557,0.36121460687925416,17.677787531320302,0.13491842490673261,,
HANCOCK,29,oropharynx_targeted_tma_dropout,B7,ood_only,100,1.0,122.0,38.0,121.33108167594078,0.12901263708020372,0.6791184161374673,0.7455529585158549,0.7736658467381642,0.3773164848729753,2.510253846672697,0.14189785545107064,0.14602695410991687,0.12901263708020372
HANCOCK,29,oropharynx_targeted_tma_dropout,B7,ood_only,90,0.9016393442622951,110.0,33.0,108.32042808439553,0.13493640578806684,0.6834747878182726,0.7298105237909022,0.7475689141864359,0.3854654210967618,2.427480347515191,0.13065602350318245,0.14134650691015552,0.12340426913149177
HANCOCK,29,oropharynx_targeted_tma_dropout,B7,ood_only,80,0.8032786885245902,98.0,25.0,96.64965492157674,0.12271736518723937,0.7154531946508172,0.7185527817349979,0.7411150848252733,0.25670430330662264,2.935713200603098,0.12800291022124077,0.12423962678582273,0.11242970810514845
